City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hobyo,SO,76.1,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
1,Maple Creek,CA,89.65,clear sky,49.9168,-109.4848,Willowbend Campground & Cabins
2,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
4,Mumias,KE,63.59,light rain,0.3351,34.4864,Mumias Sugar Guesthouse
6,Rikitea,PF,73.65,moderate rain,-23.1203,-134.9692,People ThankYou
7,Bethel,US,84.65,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
8,Jamestown,US,71.94,thunderstorm with rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
13,Peniche,PT,70.29,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
14,Atuona,PF,78.08,few clouds,-9.8,-139.0333,Villa Enata
15,Tuktoyaktuk,CA,62.6,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
17,Yichun,CN,62.15,overcast clouds,47.7,128.9,锦江酒店
21,Muros,ES,75.69,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
23,Yuzawa,JP,70.41,light rain,39.1667,140.5,Yuzawa Royal Hotel
24,Ponta Do Sol,PT,75.0,clear sky,32.6667,-17.1,Hotel do Campo
25,Yellowknife,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
26,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
27,Gvarv,NO,64.6,overcast clouds,59.3875,9.1737,"Norsjø Hotell, Telemark"
29,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
33,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
35,Pisco,PE,66.25,haze,-13.7,-76.2167,Hotel San Isidro Oficial
36,Port Alfred,ZA,69.49,clear sky,-33.5906,26.891,The Halyards Hotel
39,Namibe,AO,64.58,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
40,Banda Aceh,ID,79.21,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
41,Mayo,US,87.37,clear sky,38.8876,-76.5119,Resorts Resource Group International
43,Lexington Park,US,87.48,clear sky,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
46,Saint-Philippe,RE,69.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,Guanare,VE,89.62,clear sky,9.0418,-69.7421,Nuevo Hotel Coromoto
49,Eureka,US,67.19,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
50,Kapaa,US,82.72,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Dalbandin,PK,87.76,few clouds,28.8947,64.4101,Sanjrani House
55,Tanout,NE,77.32,light rain,14.9709,8.8879,
57,Eldorado,BR,64.08,heavy intensity rain,-23.7869,-54.2836,Villa Verde Hotel
58,Gamba,GA,69.62,few clouds,-2.65,10.0,
60,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
61,Maxixe,MZ,65.79,clear sky,-23.8597,35.3472,Oceano
64,Touros,BR,77.58,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
67,Porto Feliz,BR,85.59,overcast clouds,-23.2147,-47.5239,Sitio Do Campo
68,Yunyang,CN,78.17,few clouds,33.4474,112.7142,Post & Telecom Hotel
69,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
71,Richards Bay,ZA,65.62,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
72,East London,ZA,69.03,clear sky,-33.0153,27.9116,Tu Casa
73,Sembe,CG,72.0,light rain,1.6481,14.5806,
74,Shelburne,CA,82.29,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
75,Nouadhibou,MR,71.58,sand,20.931,-17.0347,El Medina
77,Tiznit,MA,76.96,broken clouds,29.5833,-9.5,
78,Taltal,CL,61.99,few clouds,-25.4,-70.4833,Residencial Karime
81,Sept-Iles,CA,77.0,scattered clouds,50.2001,-66.3821,Comfort Inn
82,Omboue,GA,72.14,few clouds,-1.5746,9.2618,Hotel Olako
85,Kampene,CD,72.27,broken clouds,-3.6,26.6667,
87,Kolokani,ML,74.32,overcast clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
88,San Onofre,CO,82.98,overcast clouds,9.7359,-75.5263,Hotel Sinai
90,Hithadhoo,MV,77.36,overcast clouds,-0.6,73.0833,Scoop Guest House
93,Inhambane,MZ,66.92,clear sky,-23.865,35.3833,Oceano
96,Jilib,SO,73.49,scattered clouds,0.4883,42.7854,Waadi Hotel
98,Auburn,US,68.29,overcast clouds,47.3073,-122.2284,La Quinta Inn & Suites by Wyndham Auburn
100,La Tuque,CA,84.45,overcast clouds,47.4334,-72.7824,Appart-Hôtel La Tuque
101,Sumbe,AO,67.82,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
102,Nakhon Nayok,TH,78.33,overcast clouds,14.1667,101.1,ห้างหุ้นส่วนจำกัด เอสพีรีสอร์ท
103,Tongliao,CN,67.68,overcast clouds,43.6125,122.2653,Meirujia Hotel
104,Port Elizabeth,ZA,72.1,clear sky,-33.918,25.5701,39 On Nile Guest House
106,Samarai,PG,79.47,scattered clouds,-10.6167,150.6667,Nuli Sapi
112,Shingu,JP,75.47,overcast clouds,33.7333,135.9833,Shingu UI Hotel
113,Aklavik,CA,72.37,overcast clouds,68.2191,-135.0107,Aklavik Inn
114,Rafsanjan,IR,83.95,clear sky,30.4067,55.9939,Rafsanjan Tourism Hotel
115,Kamenka,RU,65.41,light rain,51.3223,42.7678,
117,Labrea,BR,88.25,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
118,Tatawin,TN,75.49,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
119,Gornopravdinsk,RU,62.11,broken clouds,60.05,69.9,Hostel
120,Torbay,CA,70.57,overcast clouds,47.6666,-52.7314,Gallows Cove
121,Calama,CL,68.49,clear sky,-22.4667,-68.9333,Park Hotel Calama
123,Buala,SB,81.34,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
125,Namatanai,PG,80.19,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
126,Mackay,AU,60.67,clear sky,-21.15,149.2,International Lodge Motel
127,Lagoa,PT,70.9,clear sky,39.05,-27.9833,Casa Das Faias
128,Faanui,PF,77.07,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
129,Kushima,JP,77.63,light rain,31.4583,131.2333,Hanaoka
130,Ulcinj,ME,79.02,broken clouds,41.9294,19.2244,Hotel Palata Venezia
133,Ouadda,CF,68.04,overcast clouds,8.0777,22.4007,
134,Naze,JP,77.92,light rain,28.3667,129.4833,Shishime Hotel
137,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
139,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
140,Shitanjing,CN,72.07,broken clouds,39.2342,106.3439,Yingbin Hotel
141,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
142,Marawi,PH,68.79,light rain,7.9986,124.2928,Derogongan Residence
144,Haines Junction,CA,66.15,overcast clouds,60.7522,-137.5108,Parkside Inn
145,Margate,GB,68.11,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
147,Hun,LY,82.4,clear sky,29.1268,15.9477,Alrwasi Hotel
150,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
151,Nagato,JP,77.04,overcast clouds,34.3833,131.2,いそう庵
156,Poum,NC,73.87,clear sky,-20.2333,164.0167,
157,Gogrial,SS,72.99,moderate rain,8.5332,28.1004,
158,Tianpeng,CN,77.47,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
159,Totness,SR,81.91,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
160,Nosy Varika,MG,66.24,light rain,-20.5833,48.5333,Hotel Volazara
161,Kodiak,US,63.91,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
162,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
163,Durango,MX,84.88,few clouds,24.8333,-104.8333,
164,Nizwa,OM,85.55,overcast clouds,22.9333,57.5333,Orient Apartments
165,Asau,RO,65.32,few clouds,46.4333,26.4,Casa Mika Ciobanus
168,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
169,Ashland,US,72.14,moderate rain,40.8167,-82.2665,SureStay
170,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
171,Fort Nelson,CA,71.19,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
174,Markdale,CA,80.06,overcast clouds,44.3168,-80.6497,Danby House
176,Baiyin,CN,64.26,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
177,Zabaykalsk,RU,60.53,overcast clouds,49.6333,117.3167,Zheleznyy Mir
179,Aljezur,PT,66.04,clear sky,37.3191,-8.8033,Amazigh Hostel
180,Beloha,MG,63.32,clear sky,-25.1667,45.05,
181,Channel-Port Aux Basques,CA,63.79,light rain,47.5702,-59.1367,St. Christopher's Hotel
182,Norman Wells,CA,73.44,broken clouds,65.282,-126.8329,Heritage Hotel
185,Notse,TG,72.19,broken clouds,6.95,1.1667,Le Berceau
190,Jalu,LY,83.03,clear sky,29.0331,21.5482,صاحبة الفخامة
191,Skibbereen,IE,68.11,scattered clouds,51.55,-9.2667,The West Cork Hotel
192,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
194,Aksu,CN,76.37,clear sky,41.1231,80.2644,Pudong Holiday Hotel
195,Seoul,KR,74.64,mist,37.5683,126.9778,LOTTE HOTEL SEOUL
196,Cottbus,DE,62.96,broken clouds,51.7667,14.3333,Spree-Waldhotel Cottbus
197,Kathu,TH,85.75,broken clouds,7.9178,98.3332,Novotel Phuket Resort
199,Sarka Ghat,IN,73.45,clear sky,31.7,76.7333,PWD Guest House
201,Tingo Maria,PE,79.95,overcast clouds,-9.2895,-76.0088,Hospedaje Paraíso
202,Den Helder,NL,67.98,broken clouds,52.9599,4.7593,Hotel Den Helder
204,Ndele,CF,69.21,overcast clouds,8.4109,20.6473,
205,Mananjary,MG,65.68,light rain,-21.2167,48.3333,Vahiny Lodge
206,Tautira,PF,75.43,scattered clouds,-17.7333,-149.15,Pension Oaoa
210,Binga,ZW,60.1,clear sky,-17.6203,27.3414,Lakeview Inn Binga
211,Fairlie,GB,66.9,overcast clouds,55.756,-4.8556,Brisbane House Hotel
212,Lazaro Cardenas,MX,85.98,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
214,Christchurch,NZ,60.48,scattered clouds,-43.5333,172.6333,The George
215,Priyutnoye,RU,78.58,scattered clouds,46.1011,43.5072,
216,Bengkulu,ID,75.31,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
217,Kaura Namoda,NG,75.52,overcast clouds,12.5898,6.5779,Moonlight Hotel
218,Hami,CN,78.84,clear sky,42.8,93.45,Laoyutang Resort
219,Carutapera,BR,79.86,broken clouds,-1.195,-46.02,Lidera
221,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
223,Carballo,ES,67.42,broken clouds,43.213,-8.691,Pazo do Souto
224,Erenhot,CN,67.51,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
226,Thompson,CA,80.76,scattered clouds,55.7435,-97.8558,Burntwood Hotel
228,Kruisfontein,ZA,69.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
229,Santa Cruz Cabralia,BR,73.63,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
230,Aguimes,ES,70.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
232,Salinopolis,BR,80.53,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
234,Bocas Del Toro,PA,82.56,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
235,Bambanglipuro,ID,75.38,overcast clouds,-7.95,110.2833,Puri Brata
238,Methoni,GR,83.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
