City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobyo,SO,5.3505,48.5268,76.1,81,95,30.89,overcast clouds
1,Maple Creek,CA,49.9168,-109.4848,89.65,25,0,6.91,clear sky
2,Puerto Ayora,EC,-0.7393,-90.3518,76.96,95,68,5.01,broken clouds
3,Ushuaia,AR,-54.8,-68.3,38.86,52,20,5.75,few clouds
4,Mumias,KE,0.3351,34.4864,63.59,91,72,3.29,light rain
5,Dunedin,NZ,-45.8742,170.5036,54.27,68,100,11.5,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,73.65,81,86,14.65,moderate rain
7,Bethel,US,41.3712,-73.414,84.65,64,0,8.05,clear sky
8,Jamestown,US,42.097,-79.2353,71.94,94,100,10.36,thunderstorm with rain
9,Severo-Kurilsk,RU,50.6789,156.125,55.09,94,99,2.55,overcast clouds
10,Bredasdorp,ZA,-34.5322,20.0403,53.76,87,0,4.81,clear sky
11,Esperance,AU,-33.8667,121.9,53.02,94,100,11.32,light rain
12,Cape Town,ZA,-33.9258,18.4232,58.26,88,40,9.22,scattered clouds
13,Peniche,PT,39.3558,-9.3811,70.29,86,0,3.22,clear sky
14,Atuona,PF,-9.8,-139.0333,78.08,77,11,20.69,few clouds
15,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,72,40,10.36,scattered clouds
16,Ostrovnoy,RU,68.0531,39.5131,56.07,77,65,9.55,broken clouds
17,Yichun,CN,47.7,128.9,62.15,99,100,3.27,overcast clouds
18,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,27.63,clear sky
19,Hilo,US,19.7297,-155.09,91.27,75,75,4.0,broken clouds
20,New Norfolk,AU,-42.7826,147.0587,38.7,79,87,1.01,overcast clouds
21,Muros,ES,42.7762,-9.0603,75.69,92,67,1.19,broken clouds
22,Provideniya,RU,64.3833,-173.3,48.36,93,100,7.0,mist
23,Yuzawa,JP,39.1667,140.5,70.41,94,57,1.21,light rain
24,Ponta Do Sol,PT,32.6667,-17.1,75.0,81,8,7.83,clear sky
