City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bambous Virieux,MU,2022-07-16 19:18:04,-20.3428,57.7575,71.85,73,75,11.5
1,Arraial Do Cabo,BR,2022-07-16 19:15:16,-22.9661,-42.0278,76.86,69,0,12.66
2,San Jose,US,2022-07-16 19:17:10,37.3394,-121.895,92.91,46,0,5.75
3,Ushuaia,AR,2022-07-16 19:13:11,-54.8,-68.3,40.66,65,20,9.22
4,Innisfail,AU,2022-07-16 19:18:05,-17.5333,146.0333,65.7,88,84,5.66
5,Jamestown,US,2022-07-16 19:18:05,42.097,-79.2353,83.05,36,0,6.91
6,Souillac,MU,2022-07-16 19:16:31,-20.5167,57.5167,71.98,73,75,11.5
7,Tyup,KG,2022-07-16 19:18:06,42.7276,78.3648,58.44,44,0,2.98
8,Dingle,PH,2022-07-16 19:18:06,10.9995,122.6711,75.67,93,91,1.34
9,Bredasdorp,ZA,2022-07-16 19:18:07,-34.5322,20.0403,62.19,42,100,5.59
10,Coihaique,CL,2022-07-16 19:18:07,-45.5752,-72.0662,39.15,70,75,4.61
11,Rikitea,PF,2022-07-16 19:17:46,-23.1203,-134.9692,73.33,75,100,17.07
12,Coquimbo,CL,2022-07-16 19:18:08,-29.9533,-71.3436,58.73,62,0,6.91
13,Hermanus,ZA,2022-07-16 19:18:08,-34.4187,19.2345,62.4,58,100,4.7
14,Mitsamiouli,KM,2022-07-16 19:18:08,-11.3847,43.2844,76.98,70,65,10.27
15,Hithadhoo,MV,2022-07-16 19:18:09,-0.6,73.0833,83.3,77,14,15.03
16,Honiara,SB,2022-07-16 19:18:09,-9.4333,159.95,76.01,87,6,7.99
17,Hobart,AU,2022-07-16 19:15:02,-42.8794,147.3294,50.25,80,100,12.66
18,Lensk,RU,2022-07-16 19:18:10,60.7253,114.9278,55.74,90,100,4.32
19,Nioro,GM,2022-07-16 19:18:10,13.35,-15.75,86.31,65,94,12.26
20,Kodiak,US,2022-07-16 19:18:10,57.79,-152.4072,56.71,88,100,6.91
21,Makakilo City,US,2022-07-16 19:18:11,21.3469,-158.0858,80.92,60,100,13.8
22,Avarua,CK,2022-07-16 19:18:11,-21.2078,-159.775,75.25,73,40,11.5
23,Barrow,US,2022-07-16 19:18:11,71.2906,-156.7887,37.42,87,100,9.22
24,Punta Arenas,CL,2022-07-16 19:16:26,-53.15,-70.9167,35.71,80,40,8.05
25,Bourail,NC,2022-07-16 19:18:12,-21.5667,165.4833,60.06,72,0,4.29
26,Ust-Nera,RU,2022-07-16 19:18:12,64.5667,143.2,68.76,73,16,4.79
27,Bluff,NZ,2022-07-16 19:18:13,-46.6,168.3333,44.8,78,100,15.19
28,Esperance,AU,2022-07-16 19:18:13,-33.8667,121.9,55.08,74,49,2.75
29,Kushima,JP,2022-07-16 19:18:13,31.4583,131.2333,75.34,91,100,5.12
30,Cape Town,ZA,2022-07-16 19:17:06,-33.9258,18.4232,69.39,53,0,8.05
31,Mahebourg,MU,2022-07-16 19:18:14,-20.4081,57.7,71.89,73,75,11.5
32,Albany,US,2022-07-16 19:15:23,42.6001,-73.9662,85.42,50,100,3.0
33,Yar-Sale,RU,2022-07-16 19:18:15,66.8333,70.8333,53.89,64,1,7.94
34,Nikolskoye,RU,2022-07-16 19:18:15,59.7035,30.7861,57.09,90,40,4.83
35,Jacareacanga,BR,2022-07-16 19:18:15,-6.2222,-57.7528,94.66,36,43,3.31
36,Aklavik,CA,2022-07-16 19:18:16,68.2191,-135.0107,59.0,67,100,8.05
37,Tuktoyaktuk,CA,2022-07-16 19:18:16,69.4541,-133.0374,59.0,58,75,11.5
